date,tavg,tmin,tmax,precipitation_mm,snow_mm
2026-01-01,2.6,-4.0,13.0,0.0,0.0
2026-01-02,1.3,-1.0,3.0,0.0,0.0
2026-01-03,1.8,-3.0,6.0,0.0,0.0
2026-01-04,0.8,-5.0,9.0,0.0,0.0
2026-01-05,6.5,-3.0,17.0,0.0,0.0
2026-01-06,12.7,6.0,19.0,0.1,0.0
2026-01-07,7.3,0.0,18.0,0.0,0.0
2026-01-08,14.1,3.0,21.0,0.0,0.0
2026-01-09,15.1,9.0,20.0,0.7,0.0
2026-01-10,7.0,0.0,11.0,5.5,0.0
2026-01-11,0.0,-5.0,4.0,0.0,0.0
2026-01-12,1.4,-6.0,9.0,0.0,0.0
2026-01-13,9.8,2.6,16.0,0.0,0.0
2026-01-14,5.4,-2.0,13.0,2.1,0.0
2026-01-15,-3.5,-7.0,-1.0,0.0,0.0
2026-01-16,2.8,-5.0,9.0,1.4,0.0
2026-01-17,-0.3,-5.0,5.0,0.0,0.0
2026-01-18,-4.5,-10.0,-1.0,0.0,0.0
2026-01-19,-4.2,-10.0,0.0,0.0,0.0
2026-01-20,-5.4,-12.0,1.0,0.0,0.0
2026-01-21,4.1,1.0,6.0,1.3,0.0
2026-01-22,1.3,-4.1,6.0,0.0,0.0
2026-01-23,-5.1,-9.9,-2.0,0.0,0.0
2026-01-24,-9.0,-10.2,-7.5,11.4,0.0
2026-01-25,-7.8,-12.5,-5.2,26.4,0.0
2026-01-26,,,,0.0,0.0
2026-01-27,,,,0.0,0.0
2026-01-28,,,,0.0,0.0
2026-01-29,,,,0.0,0.0
2026-01-30,,,,0.0,0.0
2026-01-31,,,,0.0,0.0
