date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2026-01-01 00:00:00,2.6,-4,13,0,,,0.9,,1014.5,
2026-01-02 00:00:00,1.3,-1,3,0,,,1.1,,1012.2,
2026-01-03 00:00:00,1.8,-3,6,0,,,2.9,,1016.2,
2026-01-04 00:00:00,0.8,-5,9,0,,,0.1,,1021.2,
2026-01-05 00:00:00,6.5,-3,17,0,,,4.9,,1015.1,
2026-01-06 00:00:00,12.7,6,19,0.1,,,10.5,,1009.3,
2026-01-07 00:00:00,7.3,0,18,0,,,0.2,,1015.4,
2026-01-08 00:00:00,14.1,3,21,0,,,16.2,,1012.8,
2026-01-09 00:00:00,15.1,9,20,0.7,,,12.9,,1015.7,
2026-01-10 00:00:00,7,0,11,5.5,,,5.5,,1018.5,
2026-01-11 00:00:00,0,-5,4,0,,,8.8,,1030,
2026-01-12 00:00:00,1.4,-6,9,0,,,4,,1028.7,
2026-01-13 00:00:00,9.8,2.6,16,0,,,11.3,,1015,
2026-01-14 00:00:00,5.4,-2,13,2.1,,,12.4,,1010.9,
2026-01-15 00:00:00,-3.5,-7,-1,0,,,5.8,,1017,
2026-01-16 00:00:00,2.8,-5,9,1.4,,,13.2,,1011.2,
2026-01-17 00:00:00,-0.3,-5,5,0,,,6.6,,1019.9,
2026-01-18 00:00:00,-4.5,-10,-1,0,,,8.4,,1021.6,
2026-01-19 00:00:00,-4.2,-10,0,0,,,8.6,,1026.2,
2026-01-20 00:00:00,-5.4,-12,1,0,,,4.5,,1031.6,
2026-01-21 00:00:00,4.1,1,6,1.3,,,14.2,,1022.5,
2026-01-22 00:00:00,1.3,-4.1,6,0,,,3.9,,1026.1,
2026-01-23 00:00:00,-5.1,-9.9,-2,0,,,6.8,,,
2026-01-24 00:00:00,-9,-10.2,-7.5,11.4,,,16.5,,1033,
2026-01-25 00:00:00,-7.8,-12.5,-5.2,26.4,,,18.6,,1018,
2026-01-26 00:00:00,,,,,,,,,,
2026-01-27 00:00:00,,,,,,,,,,
2026-01-28 00:00:00,,,,,,,,,,
2026-01-29 00:00:00,,,,,,,,,,
2026-01-30 00:00:00,,,,,,,,,,
2026-01-31 00:00:00,,,,,,,,,,
